Query_Sequence	Database_EggNOG_Protein_Domains
TRINITY_DN6257_c0_g1_i52.p1	F5_F8_type_C
TRINITY_DN6257_c0_g1_i52.p1	Gal_Lectin
TRINITY_DN6257_c0_g1_i52.p1	LCCL
TRINITY_DN6257_c0_g1_i52.p1	Laminin_G_3
TRINITY_DN6257_c0_g1_i52.p1	Lectin_C
TRINITY_DN6257_c0_g1_i52.p1	SEA
TRINITY_DN6257_c0_g1_i52.p1	Trefoil
TRINITY_DN4945_c1_g1_i7.p1	ARID
TRINITY_DN4945_c1_g1_i7.p1	RBB1NT
TRINITY_DN9634_c5_g1_i1.p1	C2
TRINITY_DN9634_c5_g1_i1.p1	Calpain_III
TRINITY_DN23180_c0_g1_i9.p1	ThiF
TRINITY_DN23180_c0_g1_i9.p1	UAE_UbL
TRINITY_DN23180_c0_g1_i9.p1	UBA2_C
TRINITY_DN9718_c0_g1_i2.p1	Ets
TRINITY_DN9547_c0_g1_i22.p1	CH
TRINITY_DN2124_c0_g2_i9.p1	Alpha-amylase
TRINITY_DN4770_c1_g1_i4.p1	7TM_GPCR_Srw
TRINITY_DN8308_c0_g1_i19.p1	S-AdoMet_synt_C
TRINITY_DN8308_c0_g1_i19.p1	S-AdoMet_synt_M
TRINITY_DN14950_c1_g1_i2.p1	SET
TRINITY_DN44744_c0_g2_i6.p1	VWA
TRINITY_DN649_c5_g1_i1.p1	PI31_Prot_C
TRINITY_DN29394_c0_g1_i20.p1	Anillin
TRINITY_DN1068_c0_g1_i11.p1	I-set
TRINITY_DN12440_c1_g2_i38.p1	CH
TRINITY_DN12440_c1_g2_i38.p1	EF-hand_6
TRINITY_DN12440_c1_g2_i38.p1	EFhand_Ca_insen
TRINITY_DN4821_c0_g1_i1.p1	EGF_CA
TRINITY_DN4821_c0_g1_i1.p1	FXa_inhibition
TRINITY_DN4821_c0_g1_i1.p1	Lectin_C
TRINITY_DN4821_c0_g1_i1.p1	Tme5_EGF_like
TRINITY_DN10346_c0_g1_i8.p1	Kunitz_BPTI
TRINITY_DN10346_c0_g1_i8.p1	Reler
TRINITY_DN10346_c0_g1_i8.p1	Spond_N
TRINITY_DN13228_c0_g1_i57.p1	PH
TRINITY_DN30498_c4_g1_i1.p1	DPPIV_N
TRINITY_DN3348_c0_g1_i22.p1	BACK
TRINITY_DN3348_c0_g1_i22.p1	BTB
TRINITY_DN875_c0_g1_i60.p1	CH
TRINITY_DN875_c0_g1_i60.p1	Plectin
TRINITY_DN17696_c1_g1_i1.p1	Rav1p_C
TRINITY_DN13112_c0_g1_i7.p1	EGF_CA
TRINITY_DN1211_c2_g1_i1.p1	A1_Propeptide
TRINITY_DN6069_c1_g2_i1.p1	Ribosomal_L30
TRINITY_DN15779_c0_g1_i10.p1	ADAM_CR
TRINITY_DN15779_c0_g1_i10.p1	Disintegrin
TRINITY_DN15779_c0_g1_i10.p1	EGF_2
TRINITY_DN15779_c0_g1_i10.p1	Pep_M12B_propep
TRINITY_DN382_c0_g2_i1.p1	CH
TRINITY_DN382_c0_g2_i1.p1	EF-hand_1
TRINITY_DN382_c0_g2_i1.p1	EF-hand_5
TRINITY_DN382_c0_g2_i1.p1	EF-hand_7
TRINITY_DN8646_c1_g2_i6.p1	IQ
TRINITY_DN8646_c1_g2_i6.p1	Myosin_TH1
TRINITY_DN10701_c0_g1_i114.p1	TGF_beta
TRINITY_DN9093_c0_g1_i8.p1	MoCF_biosynth
TRINITY_DN9856_c0_g1_i88.p1	HMG_box
TRINITY_DN11425_c0_g3_i2.p1	NHL
TRINITY_DN11425_c0_g3_i2.p1	zf-B_box
TRINITY_DN11425_c0_g3_i2.p1	zf-C3HC4
TRINITY_DN56880_c0_g1_i1.p1	PH
TRINITY_DN56880_c0_g1_i1.p1	Pkinase
TRINITY_DN1154_c0_g1_i7.p1	Ras
TRINITY_DN1154_c0_g1_i7.p1	RhoGAP
TRINITY_DN43644_c0_g1_i2.p1	Sterol-sensing
TRINITY_DN11749_c0_g1_i3.p1	Exo_endo_phos
TRINITY_DN9856_c0_g1_i51.p1	HMG_box
TRINITY_DN2809_c0_g1_i31.p1	I-set
TRINITY_DN2809_c0_g1_i31.p1	Ig_3
TRINITY_DN2809_c0_g1_i31.p1	fn3
TRINITY_DN3256_c18_g1_i1.p1	UIM
TRINITY_DN11968_c0_g1_i4.p1	F5_F8_type_C
TRINITY_DN11425_c0_g3_i1.p1	NHL
TRINITY_DN11425_c0_g3_i1.p1	zf-B_box
TRINITY_DN11425_c0_g3_i1.p1	zf-C3HC4
TRINITY_DN7529_c0_g1_i50.p1	EGF_CA
TRINITY_DN7529_c0_g1_i50.p1	FXa_inhibition
TRINITY_DN7529_c0_g1_i50.p1	Ldl_recept_a
TRINITY_DN7529_c0_g1_i50.p1	Ldl_recept_b
TRINITY_DN2118_c0_g1_i50.p1	Pkinase_Tyr
TRINITY_DN10346_c0_g1_i4.p1	Kunitz_BPTI
TRINITY_DN10346_c0_g1_i4.p1	Reler
TRINITY_DN10346_c0_g1_i4.p1	Spond_N
TRINITY_DN3609_c0_g2_i30.p1	MORN
TRINITY_DN3609_c0_g2_i30.p1	RCC1
TRINITY_DN3609_c0_g2_i30.p1	RhoGEF
TRINITY_DN2688_c0_g1_i6.p1	MA3
TRINITY_DN2688_c0_g1_i6.p1	MIF4G
TRINITY_DN14954_c0_g1_i1.p2	Arm
TRINITY_DN14954_c0_g1_i1.p2	Arm_3
TRINITY_DN6939_c0_g1_i4.p1	DUF3513
TRINITY_DN6939_c0_g1_i4.p1	SH3_1
TRINITY_DN6939_c0_g1_i4.p1	SH3_9
TRINITY_DN22225_c0_g1_i4.p1	I-set
TRINITY_DN22225_c0_g1_i4.p1	Neogenin_C
TRINITY_DN5299_c0_g1_i15.p2	zf-C2H2_6
TRINITY_DN20740_c0_g1_i10.p1	RNA_pol_Rpb1_1
TRINITY_DN20740_c0_g1_i10.p1	RNA_pol_Rpb1_2
TRINITY_DN20740_c0_g1_i10.p1	RNA_pol_Rpb1_3
TRINITY_DN20740_c0_g1_i10.p1	RNA_pol_Rpb1_4
TRINITY_DN15459_c0_g1_i47.p1	Ank
TRINITY_DN15459_c0_g1_i47.p1	Ank_2
TRINITY_DN15459_c0_g1_i47.p1	Ank_3
TRINITY_DN15459_c0_g1_i47.p1	Ank_4
TRINITY_DN1831_c0_g1_i2.p1	I-set
TRINITY_DN1831_c0_g1_i2.p1	Neogenin_C
TRINITY_DN35265_c0_g1_i2.p1	CaMBD
TRINITY_DN35265_c0_g1_i2.p1	Ion_trans_2
TRINITY_DN33_c0_g1_i4.p1	EGF
TRINITY_DN33_c0_g1_i4.p1	Sushi
TRINITY_DN332_c1_g1_i4.p1	DUF2028
TRINITY_DN17_c0_g3_i5.p1	EGF
TRINITY_DN17_c0_g3_i5.p1	I-set
TRINITY_DN17_c0_g3_i5.p1	Ig_2
TRINITY_DN17_c0_g3_i5.p1	Ig_3
TRINITY_DN17_c0_g3_i5.p1	Laminin_B
TRINITY_DN17_c0_g3_i5.p1	Laminin_EGF
TRINITY_DN17_c0_g3_i5.p1	Laminin_G_1
TRINITY_DN17_c0_g3_i5.p1	Laminin_G_2
TRINITY_DN31873_c0_g1_i6.p1	IBR
TRINITY_DN31873_c0_g1_i6.p1	Sharpin_PH
TRINITY_DN31873_c0_g1_i6.p1	ubiquitin
TRINITY_DN31873_c0_g1_i6.p1	zf-RING_2
TRINITY_DN31873_c0_g1_i6.p1	zf-RING_UBOX
TRINITY_DN8324_c0_g1_i4.p1	BTB
